source,target,type,source_type,target_type,0
127,2,reporta_a,cuadra,health_post,0.12438664
128,2,reporta_a,cuadra,health_post,0.121641524
129,2,reporta_a,cuadra,health_post,0.11782794
130,2,reporta_a,cuadra,health_post,0.12025367
131,2,reporta_a,cuadra,health_post,0.08068569
132,2,reporta_a,cuadra,health_post,0.21363285
133,2,reporta_a,cuadra,health_post,0.09966583
134,2,reporta_a,cuadra,health_post,0.09086803
135,2,reporta_a,cuadra,health_post,0.10814526
136,2,reporta_a,cuadra,health_post,0.112884514
137,2,reporta_a,cuadra,health_post,0.12721023
138,2,reporta_a,cuadra,health_post,0.14166044
139,2,reporta_a,cuadra,health_post,0.15345438
140,2,reporta_a,cuadra,health_post,0.17428191
141,2,reporta_a,cuadra,health_post,0.18414573
142,2,reporta_a,cuadra,health_post,0.19552544
143,2,reporta_a,cuadra,health_post,0.19041938
144,2,reporta_a,cuadra,health_post,0.17062968
145,2,reporta_a,cuadra,health_post,0.1882044
146,2,reporta_a,cuadra,health_post,0.18150893
147,2,reporta_a,cuadra,health_post,0.1628408
148,2,reporta_a,cuadra,health_post,0.15758029
149,2,reporta_a,cuadra,health_post,0.15959746
150,2,reporta_a,cuadra,health_post,0.016450893
151,2,reporta_a,cuadra,health_post,0.010659745
152,2,reporta_a,cuadra,health_post,0.026679574
153,2,reporta_a,cuadra,health_post,0.04312201
154,2,reporta_a,cuadra,health_post,0.0282654
155,2,reporta_a,cuadra,health_post,0.045423687
156,2,reporta_a,cuadra,health_post,0.056409895
157,2,reporta_a,cuadra,health_post,0.07096087
158,2,reporta_a,cuadra,health_post,0.08277221
159,2,reporta_a,cuadra,health_post,0.07313031
160,2,reporta_a,cuadra,health_post,0.16847958
161,2,reporta_a,cuadra,health_post,0.07162748
162,2,reporta_a,cuadra,health_post,0.12103041
163,2,reporta_a,cuadra,health_post,0.12196522
164,2,reporta_a,cuadra,health_post,0.1183315
165,2,reporta_a,cuadra,health_post,0.13069347
166,2,reporta_a,cuadra,health_post,0.14978929
167,2,reporta_a,cuadra,health_post,0.1408734
168,2,reporta_a,cuadra,health_post,0.1592956
169,2,reporta_a,cuadra,health_post,0.16736995
170,2,reporta_a,cuadra,health_post,0.1513637
171,2,reporta_a,cuadra,health_post,0.17276898
172,2,reporta_a,cuadra,health_post,0.17249058
173,2,reporta_a,cuadra,health_post,0.15257877
174,2,reporta_a,cuadra,health_post,0.15283412
175,2,reporta_a,cuadra,health_post,0.13287558
176,2,reporta_a,cuadra,health_post,0.101588145
177,2,reporta_a,cuadra,health_post,0.08962403
