source,target,type,source_type,target_type,0
2,127,atiende_a,health_post,cuadra,0.12438664
2,128,atiende_a,health_post,cuadra,0.121641524
2,129,atiende_a,health_post,cuadra,0.11782794
2,130,atiende_a,health_post,cuadra,0.12025367
2,131,atiende_a,health_post,cuadra,0.08068569
2,132,atiende_a,health_post,cuadra,0.21363285
2,133,atiende_a,health_post,cuadra,0.09966583
2,134,atiende_a,health_post,cuadra,0.09086803
2,135,atiende_a,health_post,cuadra,0.10814526
2,136,atiende_a,health_post,cuadra,0.112884514
2,137,atiende_a,health_post,cuadra,0.12721023
2,138,atiende_a,health_post,cuadra,0.14166044
2,139,atiende_a,health_post,cuadra,0.15345438
2,140,atiende_a,health_post,cuadra,0.17428191
2,141,atiende_a,health_post,cuadra,0.18414573
2,142,atiende_a,health_post,cuadra,0.19552544
2,143,atiende_a,health_post,cuadra,0.19041938
2,144,atiende_a,health_post,cuadra,0.17062968
2,145,atiende_a,health_post,cuadra,0.1882044
2,146,atiende_a,health_post,cuadra,0.18150893
2,147,atiende_a,health_post,cuadra,0.1628408
2,148,atiende_a,health_post,cuadra,0.15758029
2,149,atiende_a,health_post,cuadra,0.15959746
2,150,atiende_a,health_post,cuadra,0.016450893
2,151,atiende_a,health_post,cuadra,0.010659745
2,152,atiende_a,health_post,cuadra,0.026679574
2,153,atiende_a,health_post,cuadra,0.04312201
2,154,atiende_a,health_post,cuadra,0.0282654
2,155,atiende_a,health_post,cuadra,0.045423687
2,156,atiende_a,health_post,cuadra,0.056409895
2,157,atiende_a,health_post,cuadra,0.07096087
2,158,atiende_a,health_post,cuadra,0.08277221
2,159,atiende_a,health_post,cuadra,0.07313031
2,160,atiende_a,health_post,cuadra,0.16847958
2,161,atiende_a,health_post,cuadra,0.07162748
2,162,atiende_a,health_post,cuadra,0.12103041
2,163,atiende_a,health_post,cuadra,0.12196522
2,164,atiende_a,health_post,cuadra,0.1183315
2,165,atiende_a,health_post,cuadra,0.13069347
2,166,atiende_a,health_post,cuadra,0.14978929
2,167,atiende_a,health_post,cuadra,0.1408734
2,168,atiende_a,health_post,cuadra,0.1592956
2,169,atiende_a,health_post,cuadra,0.16736995
2,170,atiende_a,health_post,cuadra,0.1513637
