source,target,type,source_type,target_type,0
95,18,cerca_de,cuadra,water_channel,0.20846447
95,35,cerca_de,cuadra,water_channel,0.15108353
95,159,cerca_de,cuadra,water_channel,0.2560931
95,161,cerca_de,cuadra,water_channel,0.8307796
96,35,cerca_de,cuadra,water_channel,0.99518067
96,161,cerca_de,cuadra,water_channel,0.0
97,161,cerca_de,cuadra,water_channel,0.1070414
98,161,cerca_de,cuadra,water_channel,0.22381021
99,161,cerca_de,cuadra,water_channel,0.38290346
100,161,cerca_de,cuadra,water_channel,0.5227847
101,161,cerca_de,cuadra,water_channel,0.64993834
102,161,cerca_de,cuadra,water_channel,0.7559843
103,35,cerca_de,cuadra,water_channel,0.622259
103,161,cerca_de,cuadra,water_channel,0.18672343
104,161,cerca_de,cuadra,water_channel,0.41044974
105,35,cerca_de,cuadra,water_channel,0.77400726
105,161,cerca_de,cuadra,water_channel,0.45090505
106,35,cerca_de,cuadra,water_channel,0.67525053
106,161,cerca_de,cuadra,water_channel,0.5326952
107,35,cerca_de,cuadra,water_channel,0.9869704
107,161,cerca_de,cuadra,water_channel,0.90561825
108,35,cerca_de,cuadra,water_channel,0.62001723
108,161,cerca_de,cuadra,water_channel,0.62835395
109,35,cerca_de,cuadra,water_channel,0.09455343
110,35,cerca_de,cuadra,water_channel,0.6536566
111,35,cerca_de,cuadra,water_channel,0.22701672
112,35,cerca_de,cuadra,water_channel,0.6742602
113,35,cerca_de,cuadra,water_channel,0.080324635
114,35,cerca_de,cuadra,water_channel,0.2501296
115,35,cerca_de,cuadra,water_channel,0.41265854
116,35,cerca_de,cuadra,water_channel,0.33751512
117,35,cerca_de,cuadra,water_channel,0.32766432
118,35,cerca_de,cuadra,water_channel,0.65395695
119,35,cerca_de,cuadra,water_channel,0.45288023
120,35,cerca_de,cuadra,water_channel,0.48847547
121,35,cerca_de,cuadra,water_channel,0.4755492
122,35,cerca_de,cuadra,water_channel,0.15774904
123,35,cerca_de,cuadra,water_channel,0.2745584
124,35,cerca_de,cuadra,water_channel,0.1505406
125,35,cerca_de,cuadra,water_channel,0.10341813
126,35,cerca_de,cuadra,water_channel,0.18971156
127,35,cerca_de,cuadra,water_channel,0.11243233
128,35,cerca_de,cuadra,water_channel,0.10832205
129,35,cerca_de,cuadra,water_channel,0.1419433
129,159,cerca_de,cuadra,water_channel,0.95709634
130,35,cerca_de,cuadra,water_channel,0.12554018
